winner,loser,method
Carlos Hernandez,Denys Bondar,"Technical Decision (unanimous) (30–27, 30–27, 29–28)"
Tereza Bledá,Gabriella Fernandes,"Decision (unanimous) (30–27, 30–27, 30–27)"
Dan Argueta,Ronnie Lawrence,No Contest (overturned)
Modestas Bukauskas,Zac Pauga,"Decision (unanimous) (30–27, 29–28, 29–28)"
Amanda Nunes(c),Irene Aldana,"Decision (unanimous) (50–44, 50–44, 50–43)"
Charles Oliveira,Beneil Dariush,TKO (punches)
Mike Malott,Adam Fugitt,Submission (guillotine choke)
Dan Ige,Nate Landwehr,"Decision (unanimous) (29–28, 29–28, 30–27)"
Marc-André Barriault,Eryk Anders,"Decision (unanimous) (30–27, 30–27, 30–27)"
Nassourdine Imavov,Chris Curtis,No Contest (accidental clash of heads)
Jasmine Jasudavicius,Miranda Maverick,"Decision (unanimous) (29–28, 29–28, 29–28)"
Aiemann Zahabi,Aori Qileng,KO (punches)
Kyle Nelson,Blake Bilder,"Decision (unanimous) (30–27, 30–27, 29–28)"
Stephen Erceg,David Dvořák,"Decision (unanimous) (29–28, 29–28, 30–27)"
Diana Belbiţă,Maria Oliveira,"Decision (unanimous) (30–27, 30–27, 29–28)"
Amir Albazi,Kai Kara-France,"Decision (split) (47–48, 48–47, 48–47)"
Alex Caceres,Daniel Pineda,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jim Miller,Jesse Butler,KO (punch)
Tim Elliott,Victor Altamirano,"Decision (unanimous) (30–27, 30–27, 29–28)"
Karine Silva,Ketlen Souza,Submission (kneebar)
Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,"Decision (split) (28–29, 29–28, 29–28)"
Daniel Santos,Johnny Muñoz Jr.,"Decision (unanimous) (29–27, 29–27, 29–27)"
Don'Tale Mayes,Andrei Arlovski,TKO (punches)
John Castañeda,Muin Gafurov,"Decision (unanimous) (29–27, 29–27, 29–27)"
Muhammad Naimov,Jamie Mullarkey,TKO (punches)
Elise Reed,Jinh Yu Frey,"Decision (unanimous) (29–28, 29–28, 29–28)"
Da'Mon Blackshear,Luan Lacerda,TKO (punches)
Philipe Lins,Maxim Grishin,"Decision (unanimous) (29–28, 29–28, 30–27)"
Mackenzie Dern,Angela Hill,"Decision (unanimous) (49–43, 49–44, 49–44)"
Anthony Hernandez,Edmen Shahbazyan,TKO (elbows and punches)
Lupita Godinez,Emily Ducote,"Decision (unanimous) (30–27, 29–28, 29–28)"
Joaquin Buckley,André Fialho,TKO (head kick)
Carlos Diego Ferreira,Michael Johnson,KO (punch)
Viacheslav Borshchev,Hayisaer Maheshate,TKO (punches)
Karolina Kowalkiewicz,Vanessa Demopoulos,"Decision (unanimous) (30–27, 30–27, 30–27)"
Gilbert Urbina,Orion Cosce,TKO (front kick and knees)
Rodrigo Nascimento,Ilir Latifi,"Decision (split) (29–28, 28–29, 29–28)"
Chase Hooper,Nick Fiore,"Decision (unanimous) (30–26, 30–27, 30–27)"
Natália Silva,Victoria Leonardo,TKO (punches and head kick)
Themba Gorimbo,Takashi Sato,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jailton Almeida,Jairzinho Rozenstruik,Submission (rear-naked choke)
Johnny Walker,Anthony Smith,"Decision (unanimous) (29–28, 30–27, 30–27)"
Ian Machado Garry,Daniel Rodriguez,TKO (head kick and punches)
Carlos Ulberg,Ihor Potieria,TKO (punches)
Alex Morono,Tim Means,Submission (guillotine choke)
Matt Brown,Court McGee,KO (punch)
Karl Williams,Chase Sherman,"Decision (unanimous) (30–27, 30–27, 29–28)"
Douglas Silva de Andrade,Cody Stamann,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mandy Böhm,Kim Ji-yeon,"Technical Decision (split) (27–28, 28–27, 28–27)"
Bryan Battle,Gabriel Green,KO (punch)
Tainara Lisboa,Jessica-Rose Clark,Submission (rear-naked choke)
Aljamain Sterling(c),Henry Cejudo,"Decision (split) (47–48, 48–47, 48–47)"
Belal Muhammad,Gilbert Burns,"Decision (unanimous) (50–45, 49–46, 49–46)"
Yan Xiaonan,Jéssica Andrade,KO (punches)
Movsar Evloev,Diego Lopes,"Decision (unanimous) (29–28, 29–28, 30–27)"
Charles Jourdain,Kron Gracie,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matt Frevola,Drew Dober,TKO (punches)
Kennedy Nzechukwu,Devin Clark,Technical Submission (guillotine choke)
Khaos Williams,Rolando Bedoya,"Decision (split) (27–30, 29–28, 29–28)"
Virna Jandiroba,Marina Rodriguez,"Decision (unanimous) (29–28, 29–28, 30–27)"
Parker Porter,Braxton Smith,TKO (punches)
Ikram Aliskerov,Phil Hawes,KO (punches)
Claudio Ribeiro,Joseph Holmes,TKO (punches)
Song Yadong,Ricky Simón,TKO (punches)
Caio Borralho,Michał Oleksiejczuk,Submission (rear-naked choke)
Rodolfo Vieira,Cody Brundage,Submission (arm-triangle choke)
Fernando Padilla,Julian Erosa,TKO (punches)
Marcos Rogério de Lima,Waldo Cortes-Acosta,"Decision (unanimous) (29–28, 29–28, 29–28)"
Trey Waters,Joshua Quinlan,"Decision (unanimous) (30–27, 30–27, 30–27)"
Martin Buday,Jake Collier,"Decision (unanimous) (29–28, 29–28, 29–28)"
Cody Durden,Charles Johnson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Irina Alekseeva,Stephanie Egger,Submission (kneebar)
Marcus McGhee,Journey Newson,Submission (rear-naked choke)
Jamey-Lyn Horth,Hailey Cowan,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sergei Pavlovich,Curtis Blaydes,TKO (punches)
Bruno Silva,Brad Tavares,TKO (knee and punch)
Bobby Green,Jared Gordon,No Contest (accidental clash of heads)
Iasmin Lucindo,Brogan Walker-Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jeremiah Wells,Matthew Semelsberger,"Decision (split) (30–27, 28–29, 30–27)"
Christos Giagos,Ricky Glenn,KO (punch)
Montel Jackson,Rani Yahya,KO (punches)
Norma Dumont,Karol Rosa,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mohammad Usman,Junior Tafa,"Decision (unanimous) (29–28, 29–28, 29–28)"
William Gomis,Francis Marshall,"Decision (split) (29–28, 28–29, 29–28)"
Brady Hiestand,Danaa Batgerel,TKO (punches)
Max Holloway,Arnold Allen,"Decision (unanimous) (49–46, 49–46, 48–47)"
Edson Barboza,Billy Quarantillo,KO (knee)
Azamat Murzakanov,Dustin Jacoby,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ion Cuțelaba,Tanner Boser,TKO (punches)
Pedro Munhoz,Chris Gutiérrez,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rafa García,Clay Guida,"Decision (unanimous) (30–27, 30–27, 30–27)"
Bill Algeo,T.J. Brown,Submission (rear-naked choke)
Brandon Royval,Matheus Nicolau,KO (knee and elbows)
Zak Cummings,Ed Herman,TKO (punches)
Gillian Robertson,Piera Rodríguez,Submission (armbar)
Daniel Zellhuber,Lando Vannata,"Decision (unanimous) (29–27, 29–28, 30–27)"
Denise Gomes,Bruna Brasil,TKO (punches)
Gastón Bolaños,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 30–27)"
Joselyne Edwards,Lucie Pudilová,"Decision (split) (29–28, 28–29, 29–28)"
Israel Adesanya,Alex Pereira(c),KO (punches)
Gilbert Burns,Jorge Masvidal,"Decision (unanimous) (30–27, 30–27, 29–28)"
Rob Font,Adrian Yanez,TKO (punches)
Kevin Holland,Santiago Ponzinibbio,KO (punch)
Christian Rodriguez,Raul Rosas Jr.,"Decision (unanimous) (29–27, 29–28, 29–28)"
Kelvin Gastelum,Chris Curtis,"Decision (unanimous) (29–28, 29–28, 30–27)"
Luana Pinheiro,Michelle Waterson-Gomez,"Decision (split) (28–29, 29–28, 29–28)"
Joe Pyfer,Gerald Meerschaert,TKO (punches)
Lupita Godinez,Cynthia Calvillo,"Decision (split) (28–29, 29–28, 30–27)"
Ignacio Bahamondes,Trey Ogden,"Decision (unanimous) (30–27, 30–27, 29–28)"
