winner,loser,method
Joe Soto,Rani Yahya,"Decision (unanimous) (29–28, 29–27, 29–27)"
Michel Prazeres,Josh Burkman,Submission (north-south choke)
Jeremy Kennedy,Rony Jason,"Decision (unanimous) (29–28, 29–28, 29–27)"
Paulo Costa,Garreth McLellan,TKO (body kick and punches)
Tyron Woodley(c),Stephen Thompson,"Decision (majority) (48–47, 47–47, 48–47)"
David Teymur,Lando Vannata,"Decision (unanimous) (30–27, 30–27, 30–27)"
Dan Kelly,Rashad Evans,"Decision (split) (29–28, 28–29, 29–28)"
Cynthia Calvillo,Amanda Cooper,Submission (rear-naked choke)
Alistair Overeem,Mark Hunt,KO (knees)
Marcin Tybura,Luis Henrique,TKO (punches)
Darren Elkins,Mirsad Bektić,TKO (punches and head kick)
Iuri Alcântara,Luke Sanders,Submission (kneebar)
Mark Godbeer,Daniel Spitz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tyson Pedro,Paul Craig,TKO (elbows)
Albert Morales,Andre Soukhamthath,"Decision (split) (29–28, 28–29, 29–28)"
Derrick Lewis,Travis Browne,KO (punches)
Johny Hendricks,Héctor Lombard,"Decision (unanimous) (30–27, 30–27, 29–28)"
Gavin Tucker,Sam Sicilia,"Decision (unanimous) (30–27, 30–27, 30–27)"
Elias Theodorou,Cezar Ferreira,"Decision (unanimous) (30–27, 29–28, 29–28)"
Sara McMann,Gina Mazany,Submission (arm-triangle choke)
Paul Felder,Alessandro Ricci,TKO (elbow and punches)
Santiago Ponzinibbio,Nordine Taleb,"Decision (unanimous) (29–28, 29–28, 29–28)"
Randa Markos,Carla Esparza,"Decision (split) (28–29, 29–28, 29–28)"
Aiemann Zahabi,Reginaldo Vieira,"Decision (unanimous) (30–27, 29–28, 29–28)"
Thiago Santos,Jack Marshman,TKO (spinning heel kick and punches)
Gerald Meerschaert,Ryan Janes,Submission (armbar)
Germaine de Randamie,Holly Holm,"Decision (unanimous) (48–47, 48–47, 48–47)"
Anderson Silva,Derek Brunson,"Decision (unanimous) (29–28, 29–28, 30–27)"
Ronaldo Souza,Tim Boetsch,Submission (kimura)
Glover Teixeira,Jared Cannonier,"Decision (unanimous) (30–26, 30–26, 30–26)"
Dustin Poirier,Jim Miller,"Decision (majority) (28–28, 30–27, 29–28)"
Belal Muhammad,Randy Brown,"Decision (unanimous) (30–27, 30–27, 29–28)"
Wilson Reis,Ulka Sasaki,"Decision (unanimous) (29–28, 29–28, 29–28)"
Islam Makhachev,Nik Lentz,"Decision (unanimous) (30–25, 30–25, 30–27)"
Ricky Glenn,Phillipe Nover,"Decision (split) (27–30, 29–28, 29–28)"
Ryan LaFlare,Roan Carneiro,"Decision (unanimous) (30–26, 30–27, 29–28)"
Chan Sung Jung,Dennis Bermudez,KO (punch)
Felice Herrig,Alexa Grasso,"Decision (unanimous) (29–28, 29–28, 30–27)"
James Vick,Abel Trujillo,Submission (D'Arce choke)
Volkan Oezdemir,Ovince Saint Preux,"Decision (split) (29–28, 28–29, 29–28)"
Marcel Fortuna,Anthony Hamilton,KO (punch)
Jéssica Andrade,Angela Hill,"Decision (unanimous) (30–27, 30–27, 30–27)"
Curtis Blaydes,Adam Milstead,No Contest (overturned)
Chas Skelly,Chris Gruetzemacher,Submission (rear-naked choke)
Ricardo Ramos,Michinori Tanaka,"Decision (unanimous) (29–28, 30–27, 29–28)"
Tecia Torres,Bec Rawlings,"Decision (unanimous) (30–27, 30–27, 30–27)"
Niko Price,Alex Morono,No Contest (overturned)
Khalil Rountree Jr.,Daniel Jolly,KO (knee)
Valentina Shevchenko,Julianna Peña,Submission (armbar)
Jorge Masvidal,Donald Cerrone,TKO (punches)
Francis Ngannou,Andrei Arlovski,TKO (punches)
Jason Knight,Alex Caceres,Submission (rear-naked choke)
Sam Alvey,Nate Marquardt,"Decision (unanimous) (29–28, 29–28, 29–28)"
Raphael Assunção,Aljamain Sterling,"Decision (split) (28–29, 29–28, 29–28)"
Li Jingliang,Bobby Nash,KO (punches)
Jordan Johnson,Henrique da Silva,"Decision (unanimous) (30–27, 30–27, 30–27)"
Eric Spicely,Alessio Di Chirico,Submission (triangle choke)
Marcos Rogério de Lima,Jeremy Kimball,TKO (punches)
Alexandre Pantoja,Eric Shelton,"Decision (split) (29–28, 28–29, 29–28)"
Jason Gonzalez,J.C. Cottrell,Submission (D'arce choke)
Yair Rodríguez,B.J. Penn,TKO (front kick and punches)
Joe Lauzon,Marcin Held,"Decision (split) (27–30, 29–28, 29–28)"
Ben Saunders,Court McGee,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sergio Pettis,John Moraga,"Decision (unanimous) (29–28, 29–28, 30–27)"
Drakkar Klose,Devin Powell,"Decision (unanimous) (30–27, 30–27, 30–27)"
Augusto Mendes,Frankie Saenz,"Decision (split) (28–29, 29–28, 29–28)"
Alexey Oleynik,Viktor Pešta,Submission (Ezekiel choke)
Anthony Rocco Martin,Alex White,"Decision (unanimous) (30–27, 30–27, 30–27)"
Nina Ansaroff,Jocelyn Jones-Lybarger,Submission (rear-naked choke)
Walt Harris,Chase Sherman,KO (knee and punches)
Joachim Christensen,Bojan Mihajlović,TKO (punches)
Cyril Asker,Dmitry Smolyakov,TKO (punches and elbows)
Amanda Nunes(c),Ronda Rousey,TKO (punches)
Cody Garbrandt,Dominick Cruz(c),"Decision (unanimous) (48–46, 48–47, 48–46)"
T.J. Dillashaw,John Lineker,"Decision (unanimous) (30–26, 30–26, 30–26)"
Dong Hyun Kim,Tarec Saffiedine,"Decision (split) (27–30, 29–28, 29–28)"
Ray Borg,Louis Smolka,"Decision (unanimous) (30–27, 30–26, 30–26)"
Neil Magny,Johny Hendricks,"Decision (unanimous) (29–28, 29–28, 29–28)"
Antônio Carlos Júnior,Marvin Vettori,"Decision (unanimous) (29–28, 29–28, 29–28)"
Alex Garcia,Mike Pyle,KO (punch)
Niko Price,Brandon Thatch,Submission (arm-triangle choke)
Alex Oliveira,Tim Means,No Contest (illegal knees)
Michelle Waterson,Paige VanZant,Technical Submission (rear-naked choke)
Mickey Gall,Sage Northcutt,Submission (rear-naked choke)
Urijah Faber,Brad Pickett,"Decision (unanimous) (30–26, 30–26, 30–26)"
Alan Jouban,Mike Perry,"Decision (unanimous) (29–28, 30–27, 30–27)"
Paul Craig,Henrique da Silva,Submission (armbar)
Mizuto Hirota,Cole Miller,"Decision (unanimous) (30–26, 30–27, 30–27)"
Colby Covington,Bryan Barberena,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alex Morono,James Moontasri,"Decision (unanimous) (29–28, 29–28, 29–28)"
Josh Emmett,Scott Holtzman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Leslie Smith,Irene Aldana,"Decision (unanimous) (29–28, 29–28, 30–27)"
Eddie Wineland,Takeya Mizugaki,TKO (punches)
Hector Sandoval,Fredy Serrano,"Decision (unanimous) (30–27, 29–28, 30–27)"
Sultan Aliev,Bojan Veličković,"Decision (split) (28–29, 30–27, 30–27)"
Max Holloway,Anthony Pettis,TKO (body kick and punches)
Donald Cerrone,Matt Brown,KO (head kick)
Cub Swanson,Choi Doo-ho,"Decision (unanimous) (30–27, 30–27, 29–28)"
Kelvin Gastelum,Tim Kennedy,TKO (punches)
Emil Weber Meek,Jordan Mein,"Decision (unanimous) (29–28, 29–28, 29–28)"
Misha Cirkunov,Nikita Krylov,Submission (guillotine choke)
Olivier Aubin-Mercier,Drew Dober,Submission (rear-naked choke)
Viviane Pereira,Valérie Létourneau,"Decision (split) (29–28, 28–29, 29–28)"
Matthew Lopez,Mitch Gagnon,"Decision (unanimous) (29–28, 29–28, 29–27)"
Lando Vannata,John Makdessi,KO (wheel kick)
Rustam Khabilov,Jason Saggo,"Decision (unanimous) (30–27, 30–27, 30–27)"
Dustin Ortiz,Zach Makovsky,"Decision (split) (29–28, 28–29, 29–28)"
Derrick Lewis,Shamil Abdurakhimov,TKO (punches)
Francis Ngannou,Anthony Hamilton,Submission (kimura)
Corey Anderson,Sean O'Connell,TKO (punches)
Gian Villante,Saparbek Safarov,TKO (punches and elbows)
Justine Kish,Ashley Yoder,"Decision (unanimous) (29–28, 29–28, 29–28)"
Randy Brown,Brian Camozzi,TKO (knee and punches)
Gerald Meerschaert,Joe Gigliotti,Submission (anaconda choke)
Andrew Sanchez,Trevor Smith,"Decision (unanimous) (30–27, 30–27, 30–27)"
Shane Burgos,Tiago Trator,"Decision (unanimous) (30–26, 29–28, 29–27)"
Marc Diakiese,Frankie Perez,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ryan Janes,Keith Berish,"Decision (unanimous) (29–28, 29–28, 29–28)"
Juliana Lima,JJ Aldrich,"Decision (unanimous) (30–27, 30–27, 30–27)"
Demetrious Johnson(c),Tim Elliott,"Decision (unanimous) (49–46, 49–46, 49–45)"
Joseph Benavidez,Henry Cejudo,"Decision (split) (27–29, 30–26, 29–27)"
Jorge Masvidal,Jake Ellenberger,TKO (punches)
Jared Cannonier,Ion Cuțelaba,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sara McMann,Alexis Davis,Submission (arm-triangle choke)
Brandon Moreno,Ryan Benoit,"Decision (split) (28–29, 29–28, 29–28)"
Ryan Hall,Gray Maynard,"Decision (unanimous) (30–27, 30–27, 29–28)"
Rob Font,Matt Schnell,TKO (knee and punches)
Dong Hyun Ma,Brendan O'Reilly,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jamie Moyle,Kailin Curran,"Decision (unanimous) (30–27, 30–27, 30–27)"
Anthony Smith,Elvis Mutapčić,TKO (elbow and punches)
Devin Clark,Josh Stansbury,"Decision (unanimous) (30–27, 30–27, 29–28)"
Robert Whittaker,Derek Brunson,TKO (head kick and punches)
Andrew Holbrook,Jake Matthews,"Decision (split) (29–28, 28–29, 29–28)"
Omari Akhmedov,Kyle Noke,"Decision (unanimous) (29–28, 29–28, 30–27)"
Alexander Volkanovski,Yusuke Kasuya,TKO (punches)
Tyson Pedro,Khalil Rountree Jr.,Submission (rear-naked choke)
Danielle Taylor,Seo Hee Ham,"Decision (split) (28–29, 30–27, 30–27)"
Dan Kelly,Chris Camozzi,"Decision (unanimous) (29–28, 29–27, 30–27)"
Damien Brown,Jon Tuck,"Decision (split) (28–29, 29–28, 29–28)"
Jonathan Meunier,Richard Walsh,"Decision (unanimous) (29–28, 30–27, 30–27)"
Ben Nguyen,Geane Herrera,"Decision (unanimous) (30–27, 30–26, 30–27)"
Jason Knight,Dan Hooker,"Decision (unanimous) (29–28, 30–27, 30–26)"
Marlon Vera,Ning Guangyou,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jenel Lausa,Yao Zhikui,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ryan Bader,Antônio Rogério Nogueira,TKO (punches)
Thomas Almeida,Albert Morales,TKO (punches)
Cláudia Gadelha,Cortney Casey,"Decision (unanimous) (30–27, 30–27, 30–27)"
Krzysztof Jotko,Thales Leites,"Decision (unanimous) (29–27, 30–27, 30–27)"
Kamaru Usman,Warlley Alves,"Decision (unanimous) (29–27, 30–26, 29–28)"
Sérgio Moraes,Zak Ottow,"Decision (split) (28–29, 30–27, 30–27)"
Cezar Ferreira,Jack Hermansson,Submission (arm-triangle choke)
Gadzhimurad Antigulov,Marcos Rogério de Lima,Submission (guillotine choke)
Johnny Eduardo,Manny Gamburyan,TKO (punches)
Luis Henrique,Christian Colombo,Submission (guillotine choke)
Pedro Munhoz,Justin Scoggins,Submission (guillotine choke)
Darren Stewart,Francimar Barroso,No Contest (inadvertent headbutt)
Gegard Mousasi,Uriah Hall,TKO (punches)
Stevie Ray,Ross Pearson,"Decision (split) (27–30, 30–27, 30–27)"
Alexander Volkov,Timothy Johnson,"Decision (split) (29–28, 27–30, 29–28)"
Artem Lobov,Teruto Ishihara,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jack Marshman,Magnus Cedenblad,TKO (punches)
Kyoji Horiguchi,Ali Bagautinov,"Decision (unanimous) (30–27, 30–27, 30–27)"
Kevin Lee,Magomed Mustafaev,Technical Submission (rear-naked choke)
Amanda Cooper,Anna Elmose,"Decision (unanimous) (30–27, 29–28, 29–28)"
Justin Ledet,Mark Godbeer,Submission (rear-naked choke)
Zak Cummings,Alexander Yakovlev,Submission (straight armbar)
Marion Reneau,Milana Dudieva,TKO (punches and elbows)
Brett Johns,Kwan Ho Kwak,"Decision (unanimous) (30–27, 30–27, 30–27)"
Abdul Razak Alhassan,Charlie Ward,KO (punches)
Conor McGregor,Eddie Alvarez(c),TKO (punches)
Tyron Woodley(c),Stephen Thompson,"Draw (majority) (47–47, 47–47, 48–47)"
Joanna Jędrzejczyk(c),Karolina Kowalkiewicz,"Decision (unanimous) (49–46, 49–46, 49–46)"
Yoel Romero,Chris Weidman,KO (flying knee)
Raquel Pennington,Miesha Tate,"Decision (unanimous) (29–28, 30–27, 30–27)"
Frankie Edgar,Jeremy Stephens,"Decision (unanimous) (29-28, 30-27, 30-27)"
Khabib Nurmagomedov,Michael Johnson,Submission (kimura)
Tim Boetsch,Rafael Natal,TKO (punches)
Vicente Luque,Belal Muhammad,KO (punches)
Jim Miller,Thiago Alves,"Decision (unanimous) (30–27, 29–28, 30–27)"
Liz Carmouche,Katlyn Chookagian,"Decision (split) (28–29, 29–28, 29–28)"
Tony Ferguson,Rafael dos Anjos,"Decision  (unanimous) (48–47, 48–47, 48–47)"
Diego Sanchez,Marcin Held,"Decision  (unanimous) (29–28, 29–28, 29–27)"
Ricardo Lamas,Charles Oliveira,Submission  (guillotine choke)
Martín Bravo,Claudio Puelles,TKO (punches)
Beneil Dariush,Rashid Magomedov,"Decision (unanimous) (30–27, 30–27, 29–28)"
Alexa Grasso,Heather Jo Clark,"Decision (unanimous) (30–27, 30–27, 29–28)"
Érik Pérez,Felipe Arantes,"Decision (split) (28–29, 29–28, 29–28)"
Joe Soto,Marco Beltrán,Submission (heel hook)
Max Griffin,Erick Montaño,TKO (punches)
Douglas Silva de Andrade,Henry Briones,TKO (elbow and spinning back fist)
Sam Alvey,Alex Nicholson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Polo Reyes,Jason Novelli,"Decision (split) (29–28, 28–29, 29–28)"
Enrique Barzola,Chris Avila,"Decision (unanimous) (30–26, 30–26, 30–26)"
Ricardo Lamas,B.J. Penn,
Derrick Lewis,Marcin Tybura,
Jenel Lausa,Yao Zhikui,
Cole Miller,Mizuto Hirota,
Sam Alvey,Alex Nicholson,
Jon Tuck,Alexander Volkanovski,
Yang Dongi,Ryan Janes,
Seo Hee Ham,Danielle Taylor,
James Moontasri,Alex Morono,
Kyoji Horiguchi,Ali Bagautinov,
Damir Hadžović,Yusuke Kasuya,
Michael Bisping(c),Dan Henderson,"Decision (unanimous) (48–47, 48–47, 49–46)"
Gegard Mousasi,Vitor Belfort,TKO (head kick and punches)
Jimi Manuwa,Ovince Saint Preux,KO (punch)
Stefan Struve,Daniel Omielańczuk,Submission (D'Arce choke)
Mirsad Bektić,Russell Doane,Submission (rear-naked choke)
Iuri Alcântara,Brad Pickett,Submission (triangle choke)
Damian Stasiak,Davey Grant,Submission (armbar)
Leon Edwards,Albert Tumenov,Submission (rear-naked choke)
Marc Diakiese,Łukasz Sajewski,TKO (knees and punches)
Mike Perry,Danny Roberts,KO (knee and punches)
Leonardo Santos,Adriano Martins,"Decision (split) (28–29, 29–28, 29–28)"
John Lineker,John Dodson,"Decision (split) (47–48, 48–47, 48–47)"
Alex Oliveira,Will Brooks,TKO (punches)
Zak Ottow,Josh Burkman,"Decision (split) (29–28, 28–29, 29–28)"
Brandon Moreno,Louis Smolka,Submission (guillotine choke)
Luis Henrique da Silva,Joachim Christensen,Submission (armbar)
Andre Fili,Hacran Dias,"Decision (unanimous) (29–28, 29–28, 29–28)"
Shamil Abdurakhimov,Walt Harris,"Decision (split) (28–29, 29–28, 29–28)"
Elizeu Zaleski dos Santos,Keita Nakamura,"Decision (unanimous) (29–28, 29–28, 29–28)"
Nate Marquardt,Tamdan McCrory,KO (punch and head kick)
Ion Cuțelaba,Jonathan Wilson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Curtis Blaydes,Cody East,TKO (elbows)
Ketlen Vieira,Kelly Faszholz,"Decision (split) (28–29, 29–28, 29–28)"
Cris Cyborg,Lina Länsberg,TKO (punches)
Renan Barão,Phillipe Nover,"Decision (unanimous) (29–28, 29–28, 30–27)"
Roy Nelson,Antônio Silva,KO (punches)
Francisco Trinaldo,Paul Felder,TKO (doctor stoppage)
Eric Spicely,Thiago Santos,Submission (rear-naked choke)
Godofredo Pepey,Mike De La Torre,Submission (rear-naked choke)
Michel Prazeres,Gilbert Burns,"Decision (unanimous) (30–27, 30–27, 30–27)"
Rani Yahya,Michinori Tanaka,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jussier Formiga,Dustin Ortiz,"Decision (unanimous) (30–27, 29–27, 29–28)"
Erick Silva,Luan Chagas,Submission (rear-naked choke)
Alan Patrick,Stevie Ray,"Decision (unanimous) (29–28, 29–28, 30–27)"
Vicente Luque,Héctor Urbina,KO (punch)
Gregor Gillespie,Glaico França,"Decision (unanimous) (29–27, 29–27, 29–27)"
Michael Johnson,Dustin Poirier,KO (punches)
Derek Brunson,Uriah Hall,TKO (punch)
Evan Dunham,Rick Glenn,"Decision (unanimous) (30–27, 30–27, 30–27)"
Roan Carneiro,Kenny Robertson,"Decision (split) (28–29, 30–27, 29–28)"
Islam Makhachev,Chris Wade,"Decision (unanimous) (29–28, 29–28, 29–28)"
Chas Skelly,Maximo Blanco,Technical Submission (anaconda choke)
Gabriel Benítez,Sam Sicilia,Technical Submission (standing guillotine choke)
Belal Muhammad,Augusto Montaño,TKO (punches)
Antônio Carlos Júnior,Leonardo Augusto Guimarães,Submission (rear-naked choke)
José Alberto Quiñónez,Joey Gomez,"Decision (unanimous) (29–28, 30–27, 30–27)"
Randy Brown,Erick Montaño,Submission (guillotine choke)
Albert Morales,Alejandro Pérez,"Draw (majority) (29–27, 28–28, 28–28)"
Stipe Miocic(c),Alistair Overeem,KO (punches)
Fabrício Werdum,Travis Browne,"Decision (unanimous) (29–28, 29–27, 30–27)"
Mickey Gall,CM Punk,Submission (rear-naked choke)
Jimmie Rivera,Urijah Faber,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jéssica Andrade,Joanne Calderwood,Submission (guillotine choke)
Bethe Correia,Jessica Eye,"Decision (split) (29–28, 28–29, 29–28)"
Brad Tavares,Caio Magalhães,"Decision (split) (28–29, 30–27, 29–28)"
Nik Lentz,Michael McBride,TKO (punches)
Drew Dober,Jason Gonzalez,TKO (punches)
Yancy Medeiros,Sean Spencer,Submission (rear-naked choke)
Josh Barnett,Andrei Arlovski,Submission (rear-naked choke)
Alexander Gustafsson,Jan Błachowicz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ryan Bader,Ilir Latifi,KO (knee)
Nick Hein,Tae Hyun Bang,"Decision (unanimous) (29–28, 30–28, 30–27)"
Jessin Ayari,Jim Wallhead,"Decision (split) (28–29, 29–28, 30–27)"
Peter Sobotta,Nicolas Dalby,"Decision (unanimous) (30–26, 30–26, 30–26)"
Ashlee Evans-Smith,Veronica Macedo,TKO (punches and elbows)
Taylor Lapilus,Leandro Issa,"Decision (unanimous) (30–27, 30–27, 29–28)"
Christian Colombo,Jarjis Danho,"Draw (majority) (29–27, 28–28, 28–28)"
Jack Hermansson,Scott Askham,"Decision (unanimous) (30–27, 30–27, 29–28)"
Rustam Khabilov,Leandro Silva,"Decision (unanimous) (29–28, 29–28, 30–27)"
Demian Maia,Carlos Condit,Submission (rear-naked choke)
Anthony Pettis,Charles Oliveira,Submission (guillotine choke)
Paige VanZant,Bec Rawlings,KO (jumping switch kick and punches)
Jim Miller,Joe Lauzon,"Decision (split) (29–28, 28–29, 29–28)"
Sam Alvey,Kevin Casey,TKO (punches)
Kyle Bochniak,Enrique Barzola,"Decision (split) (29–28, 27–30, 29–28)"
Alessio Di Chirico,Garreth McLellan,"Decision (split) (29–28, 28–29, 29–28)"
Felipe Silva,Shane Campbell,TKO (punches)
Chad Laprise,Thibault Gouti,TKO (punches)
Jeremy Kennedy,Alessandro Ricci,"Decision (unanimous) (30–27, 30–27, 29–28)"
Conor McGregor,Nate Diaz,"Decision (majority) (48–47, 47–47, 48–47)"
Anthony Johnson,Glover Teixeira,KO (punch)
Donald Cerrone,Rick Story,TKO (head kick and punches)
Mike Perry,Lim Hyun-gyu,TKO (punches)
Tim Means,Sabah Homasi,TKO (punches)
Cody Garbrandt,Takeya Mizugaki,TKO (punches)
Raquel Pennington,Elizabeth Phillips,"Decision (unanimous) (30–27, 30–27, 30–27)"
Artem Lobov,Chris Avila,"Decision (unanimous) (30–27, 30–27, 30–27)"
Cortney Casey,Randa Markos,Verbal Submission (armbar)
Lorenz Larkin,Neil Magny,TKO (elbows)
Colby Covington,Max Griffin,TKO (punches)
Marvin Vettori,Alberto Uda,Submission (guillotine choke)
Yair Rodríguez,Alex Caceres,"Decision (split) (46–49, 48–47, 48–47)"
Dennis Bermudez,Rony Jason,"Decision (unanimous) (30–27, 30–26, 30–27)"
Thales Leites,Chris Camozzi,Submission (rear-naked choke)
Santiago Ponzinibbio,Zak Cummings,"Decision (unanimous) (29–28, 29–28, 30–27)"
Trevor Smith,Joe Gigliotti,"Decision (unanimous) (30–26, 30–26, 30–26)"
Maryna Moroz,Danielle Taylor,"Decision (split) (28–29, 29–28, 30–27)"
Court McGee,Dominique Steele,"Decision (unanimous) (30–27, 29–28, 29–28)"
Marcin Tybura,Viktor Pešta,KO (head kick)
David Teymur,Jason Novelli,TKO (punches)
Teruto Ishihara,Horacio Gutiérrez,TKO (punches)
Cub Swanson,Tatsuya Kawajiri,"Decision (unanimous) (30–27, 30–27, 29–28)"
Justin Ledet,Chase Sherman,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tyron Woodley,Robbie Lawler(c),KO (punches)
Karolina Kowalkiewicz,Rose Namajunas,"Decision (split) (28–29, 29–28, 29–28)"
Jake Ellenberger,Matt Brown,TKO (body kick and punches)
Érik Pérez,Francisco Rivera,"Decision (unanimous) (30–26, 30–26, 29–28)"
Ryan Benoit,Fredy Serrano,"Decision (split) (28–29, 29–28, 29–28)"
Nikita Krylov,Ed Herman,KO (head kick)
Jorge Masvidal,Ross Pearson,"Decision (unanimous) (29–28, 29–28, 30–27)"
Anthony Hamilton,Damian Grabowski,KO (punches)
Wilson Reis,Hector Sandoval,Submission (rear-naked choke)
Michael Graves,Bojan Veličković,"Draw (majority) (30–27, 28–28, 28–28)"
Damien Brown,Cesar Arzamendia,KO (punches)
Valentina Shevchenko,Holly Holm,"Decision (unanimous) (49–46, 49–46, 49–46)"
Edson Barboza,Gilbert Melendez,"Decision (unanimous) (30–27, 30–27, 29–28)"
Francis Ngannou,Bojan Mihajlović,TKO (punches)
Felice Herrig,Kailin Curran,Submission (rear-naked choke)
Eddie Wineland,Frankie Saenz,TKO (punches)
Darren Elkins,Godofredo Pepey,"Decision (unanimous) (29–27, 29–27, 30–26)"
Kamaru Usman,Alexander Yakovlev,"Decision (unanimous) (30–25, 30–25, 30–25)"
Michel Prazeres,J.C. Cottrell,"Decision (unanimous) (30–26, 30–27, 30–27)"
Alex Oliveira,James Moontasri,"Decision (unanimous) (30–26, 30–26, 30–25)"
Jason Knight,Jim Alers,"Decision (split) (29–28, 28–29, 29–28)"
Luis Henrique,Dmitry Smolyakov,Submission (rear-naked choke)
John Lineker,Michael McDonald,KO (punches)
Tony Ferguson,Lando Vannata,Submission (D'Arce choke)
Tim Boetsch,Josh Samman,TKO (punches)
Daniel Omielańczuk,Aleksei Oleinik,"Decision (majority) (28–28, 29–28, 29–28)"
Keita Nakamura,Kyle Noke,Submission (rear-naked choke)
Louis Smolka,Ben Nguyen,TKO (punches and elbows)
Katlyn Chookagian,Lauren Murphy,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sam Alvey,Eric Spicely,Submission (guillotine choke)
Cortney Casey,Cristina Stanciu,TKO (elbows)
Scott Holtzman,Cody Pfister,"Decision (unanimous) (30–27, 30–27, 29–28)"
Rani Yahya,Matthew Lopez,Submission (arm-triangle choke)
Alex Nicholson,Devin Clark,KO (punch)
Amanda Nunes,Miesha Tate(c),Submission (rear-naked choke)
Brock Lesnar,Mark Hunt,No Contest (overturned)
Daniel Cormier(c),Anderson Silva,"Decision (unanimous) (30–26, 30–26, 30–26)"
José Aldo,Frankie Edgar,"Decision (unanimous) (49–46, 49–46, 48–47)"
Cain Velasquez,Travis Browne,TKO (punches)
Julianna Peña,Cat Zingano,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kelvin Gastelum,Johny Hendricks,"Decision (unanimous) (29–28, 30–27, 30–27)"
T.J. Dillashaw,Raphael Assunção,"Decision (unanimous) (30–27, 30–27, 30–27)"
Sage Northcutt,Enrique Marín,"Decision (unanimous) (29–28, 29–28, 29–28)"
Joe Lauzon,Diego Sanchez,TKO (punches)
Gegard Mousasi,Thiago Santos,KO (punches)
Jim Miller,Takanori Gomi,TKO (punches)
Joanna Jędrzejczyk(c),Cláudia Gadelha,"Decision (unanimous) (48–46, 48–45, 48–46)"
Andrew Sanchez,Khalil Rountree Jr.,"Decision (unanimous) (30–25, 30–25, 30–26)"
Tatiana Suarez,Amanda Cooper,Submission (D'Arce choke)
Will Brooks,Ross Pearson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Choi Doo-ho,Thiago Tavares,TKO (punches)
Joaquim Silva,Andrew Holbrook,TKO (punches)
Gray Maynard,Fernando Bruno,"Decision (unanimous) (30–27, 30–27, 30–27)"
Matheus Nicolau,John Moraga,"Decision (split) (29–28, 28–29, 29–28)"
Josh Stansbury,Cory Hendricks,"Decision (majority) (29–27, 29–27, 28–28)"
Cezar Ferreira,Anthony Smith,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kevin Lee,Jake Matthews,TKO (punches)
Li Jingliang,Anton Zafir,KO (punches)
Eddie Alvarez,Rafael dos Anjos(c),TKO (punches)
Derrick Lewis,Roy Nelson,"Decision (split) (29–28, 28–29, 29–28)"
Alan Jouban,Belal Muhammad,"Decision (unanimous) (28–27, 29–28, 29–27)"
Joseph Duffy,Mitch Clarke,Submission (rear-naked choke)
Alberto Mina,Mike Pyle,KO (flying knee and punches)
John Makdessi,Mehdi Baghdad,"Decision (split) (28–29, 29–28, 29–28)"
Anthony Birchak,Dileno Lopes,"Decision (split) (27–30, 29–28, 29–28)"
Pedro Munhoz,Russell Doane,Submission (guillotine choke)
Felipe Arantes,Jerrod Sanders,Submission (armbar)
Gilbert Burns,Łukasz Sajewski,Submission (armbar)
Marco Beltrán,Reginaldo Vieira,Submission (rear-naked choke)
Vicente Luque,Álvaro Herrera,Submission (D'Arce choke)
Stephen Thompson,Rory MacDonald,"Decision (unanimous) (50–45, 50–45, 48–47)"
Donald Cerrone,Patrick Côté,TKO (punches)
Steve Bossé,Sean O'Connell,"Decision (unanimous) (29–28, 29–28, 29–27)"
Olivier Aubin-Mercier,Thibault Gouti,Submission (rear-naked choke)
Joanne Calderwood,Valérie Létourneau,TKO (body kick and punches)
Jason Saggo,Leandro Silva,"Decision (split) (28–29, 29–28, 29–28)"
Misha Cirkunov,Ion Cuțelaba,Submission (arm-triangle choke)
Krzysztof Jotko,Tamdan McCrory,KO (punch)
Joe Soto,Chris Beal,Submission (rear-naked choke)
Elias Theodorou,Sam Alvey,"Decision (unanimous) (29–28, 30–27, 30–27)"
Randa Markos,Jocelyn Jones-Lybarger,"Decision (unanimous) (30–27, 29–28, 29–28)"
Colby Covington,Jonathan Meunier,Submission (rear-naked choke)
Ali Bagautinov,Geane Herrera,"Decision (unanimous) (30–27, 30–27, 30–27)"
Michael Bisping,Luke Rockhold(c),KO (punches)
